L_M1_foot,L_M1_hand,L_M1_tongue,L_PMd,L_S1S2,R_M1_foot,R_M1_hand,R_M1_tongue,R_PMv,R_S1S2,SMA
1.297448180613287816e+00,1.971421698411451873e+00,4.672038395354342732e+00,3.549102640339217296e-01,3.707497841330971600e+00,2.203331982268867950e+00,1.015873946375360548e+00,3.538729657351682878e+00,2.202340556275385719e+00,5.828883189480573712e-01,6.796994477832292159e-01
-6.369194019224961867e-01,1.292315962934617257e+00,-3.121093357445260397e-01,-6.432332667474367771e-02,-7.277438588137769004e-01,2.059519902188213347e+00,5.844341407424979984e-01,-1.126190667404044055e+00,-4.674089021667443000e-01,3.829414679241636144e-01,5.661285370962759744e-01
5.499767654456878541e-01,1.326759589991463595e-01,-7.715901783124455848e-01,1.637501226536615950e-01,-9.878037141230947560e-01,-5.761985058716934116e-01,-2.349994808900134902e-01,-5.250798863246577269e-02,6.447072483634369577e-01,-3.813898569510054681e-01,-7.098838258759098130e-01
-7.349164401240208810e-02,-8.795604839200218406e-01,-1.187655372239975415e+00,5.045482031263112122e-01,-1.277620891297662542e+00,-4.774595188870721096e-01,-1.395917440209650362e+00,-1.301263603614872366e+00,-1.587835592496116943e+00,-1.969314910247959571e-01,-2.076631940031089307e+00
7.130244322509878829e-01,-1.950551488678841927e-01,-1.646254612065594980e+00,2.563224197458367493e-01,-6.252064916944022333e-01,1.382552151134707419e+00,-4.818327864435500985e-01,-1.061833729468664833e+00,-1.860926959881692433e-01,2.594816396280774096e-01,2.313000511479315624e-01
-1.306711208513785805e-01,2.545034667819822127e-01,-8.398179052027938685e-01,1.236702030893521709e+00,2.202759969426476283e-01,-1.825601846895535063e+00,2.855152255018974516e-01,5.082520608178457966e-01,1.022748861081058669e+00,1.625631868206352415e+00,8.224192397824402478e-01
-9.759871921443523668e-01,-7.969821517991882986e-01,-8.672368067549472981e-01,6.382384128038269822e-01,-3.766015258760569973e-01,-1.856282832116375792e+00,-2.164174390790908897e-01,-5.386628886981031927e-01,-1.356601732101551772e+00,2.767877444791738917e+00,-1.370071897992122478e+00
-3.563514656014565851e-01,-1.875702137861478755e-02,-1.049990694031705418e+00,5.958064680561746540e-01,-1.422357721129628105e+00,-1.153316653605478415e+00,-1.117410734509867609e+00,-1.500605283339096152e+00,-9.871041620976624964e-01,-1.793841844795810880e+00,-1.401581526992733640e+00
4.993825158187946422e-02,-6.857932705552950425e-01,3.150029739117345406e-01,-1.684494703190502207e-01,6.848546567026683185e-01,-1.539930251877080492e-01,5.812853496809716053e-02,8.216076484067136310e-01,1.085405999561348755e+00,2.981526795717410749e-01,1.158993198749872944e+00
1.505280782746535873e-01,-8.365475178250436628e-02,5.906743842961696966e-01,-1.477131829519822803e+00,5.908782620958743514e-01,3.558156910270577900e-01,1.082036129544975411e+00,5.656227121714474393e-01,7.704951591271448352e-01,8.121463177785805954e-01,1.580287494608155541e+00
-2.516484486578340896e-01,5.817373885178775961e-01,-1.642347325623887411e-01,4.274909069454826405e-01,4.298146162503341944e-02,1.974984545559022864e-01,2.558423488625321540e-01,2.971666134214570598e-01,-7.134574565848624816e-01,-6.843456216248072765e-01,-1.214305586912627494e-01
2.699603084082298488e-02,-1.127226222933758404e+00,2.574425123763857570e+00,-2.145050610447671313e-01,1.505688237331953561e+00,-7.620381449947575270e-01,-6.705699026236228155e-02,2.866261931603887980e+00,2.116172710236020382e+00,1.147119361002584687e-01,1.957614482064803152e+00
-1.272502139581962732e-01,9.856227212069312849e-01,1.150916842136202378e+00,7.732019103748033473e-02,9.948884851028910736e-01,-1.003959113882466336e-01,4.999233230301312614e-01,1.011601900208327853e+00,3.802694687305130383e-01,6.109184831437135949e-02,3.202030671838034248e-01
7.279879116118916915e-01,-4.510971255684633752e-01,7.377897921604910092e-01,-6.633212094682802151e-01,1.463247940363234356e+00,4.858312546924731246e-02,-2.247410865471006491e-01,1.274878363050149899e+00,5.004909116436611488e-02,1.178856226274693553e+00,-1.775202460106513058e-01
7.384583232526460428e-01,6.661177270660672001e-01,1.716681687150425073e-01,-1.428566370144539466e+00,8.707827252937438978e-01,1.933320970841274633e+00,1.678387280136135917e+00,-1.202073070627463804e-02,7.307071716361344116e-01,-2.733392380340840533e-01,5.714872573363789510e-01
-1.671724507788303060e-01,-4.805742331747459017e-01,-1.248646623625748298e+00,-9.510335367506672632e-01,-1.530889760251825882e+00,-1.336212478125227809e+00,3.496643539093820530e-01,-1.961107978764260018e+00,-2.278280052433549141e+00,-2.056017188793765271e+00,-1.022698457405583961e+00
-9.279259193930512462e-01,-5.922318271609795515e-01,-1.419367729242565490e+00,-2.612762844937729367e-01,-1.593237266659680351e+00,-3.908062875737803310e-01,-6.168183036653490658e-01,-2.026990204661367034e+00,-2.835314442791952771e+00,-1.182247259285917007e+00,-5.812997384009958024e-01
